,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
140,0.0,Wed Oct 03 01:53:02 +0000 2018,0.0,1.0,0.0,141,RT @nytopinion: The Editorial Board writes that  Donald Trump's origin story is a sham — a version of reality so elaborately embellished th…,@nytimes
139,0.7964,Wed Oct 03 02:02:05 +0000 2018,0.0,0.705,0.295,140,"A Canadian professor, Dr. Donna Strickland, became the first woman in 55 years to win a Nobel Prize in Physics https://t.co/lRYiQoWUH9",@nytimes
138,-0.296,Wed Oct 03 02:12:06 +0000 2018,0.109,0.891,0.0,139,The Trump administration will no longer issue family visas to same-sex domestic partners of foreign diplomats or em… https://t.co/a3ZP2pFpXB,@nytimes
137,0.0,Wed Oct 03 02:22:01 +0000 2018,0.0,1.0,0.0,138,"RT @arappeport: USMCA-what? Trump may have botched the branding on the new Nafta, experts say. https://t.co/VI9wnaYhQg",@nytimes
136,0.6705,Wed Oct 03 02:32:03 +0000 2018,0.0,0.645,0.355,137,How Times journalists uncovered the original source of the president’s wealth https://t.co/kBccM5h95D,@nytimes
135,-0.4404,Wed Oct 03 02:45:06 +0000 2018,0.139,0.861,0.0,136,Tax experts briefed on The New York Times’s findings said the Trumps’ conduct presented a pattern of deception and… https://t.co/Vfs3ST7PxG,@nytimes
134,-0.6222,Wed Oct 03 02:52:31 +0000 2018,0.177,0.823,0.0,135,"The most overt fraud was All County Building Supply &amp; Maintenance, a company formed by the Trump family in 1992:… https://t.co/smByPZvPYY",@nytimes
133,0.0,Wed Oct 03 02:58:30 +0000 2018,0.0,1.0,0.0,134,"All County’s ostensible purpose was to be the purchasing agent for Fred Trump’s buildings, buying everything from b… https://t.co/5E2JKsZeL3",@nytimes
132,0.0,Wed Oct 03 03:04:21 +0000 2018,0.0,1.0,0.0,133,All County siphoned millions of dollars from Fred Trump’s empire by simply marking up purchases already made by his… https://t.co/9mRFXDGBG7,@nytimes
131,-0.25,Wed Oct 03 03:06:58 +0000 2018,0.087,0.913,0.0,132,"While All County was all upside for Donald Trump and his siblings, it had an insidious downside for Fred Trump’s te… https://t.co/ri9i74ieAb",@nytimes
130,-0.8074,Wed Oct 03 03:17:07 +0000 2018,0.372,0.628,0.0,131,"At a rally, President Trump mocked Christine Blasey Ford, who has accused Brett Kavanaugh of sexual assault https://t.co/E5KUbfwzzH",@nytimes
129,-0.4404,Wed Oct 03 03:27:05 +0000 2018,0.194,0.729,0.077,130,Travelers entering New Zealand may now be prosecuted and fined if they refuse to allow access to their digital devi… https://t.co/vR0FQzyfgg,@nytimes
128,-0.5423,Wed Oct 03 03:37:28 +0000 2018,0.2,0.8,0.0,129,"Sherri's red blood cell levels plummet and her iron disappears. You'd think she's bleeding, but there's no blood in… https://t.co/32wuN3LYJ9",@nytimes
127,-0.5859,Wed Oct 03 03:47:01 +0000 2018,0.174,0.826,0.0,128,In The Edit newsletter: Contributors weigh in on the sexual assault allegations against Brett Kavanaugh and what co… https://t.co/Nwl6NVNBeu,@nytimes
126,0.0,Wed Oct 03 03:57:01 +0000 2018,0.0,1.0,0.0,127,"In Opinion

Seeing the Earth from the moon 50 years ago changed these astronauts forever. In this film, they tell t… https://t.co/IOOEFJEVCD",@nytimes
125,-0.6705,Wed Oct 03 04:07:04 +0000 2018,0.256,0.744,0.0,126,Officials are beginning to sort out what went wrong with Indonesia’s early warning system for tsunami detection https://t.co/y2YrphSwUZ,@nytimes
124,-0.3612,Wed Oct 03 04:17:02 +0000 2018,0.116,0.884,0.0,125,"About 8% of the registered sex offenders in Missouri are unaccounted for, according to a state audit, which said th… https://t.co/GscygaKv3z",@nytimes
123,0.5574,Wed Oct 03 04:27:02 +0000 2018,0.0,0.805,0.195,124,"The Chinese film star Fan Bingbing, who vanished from public view months ago, faces huge fines for tax evasion, rep… https://t.co/ZkqZyT5bnB",@nytimes
122,0.0,Wed Oct 03 04:35:03 +0000 2018,0.0,1.0,0.0,123,Our investigation revealed that Donald Trump received the equivalent today of at least $413 million from his father… https://t.co/Tojoj6Kbte,@nytimes
121,0.0,Wed Oct 03 04:47:05 +0000 2018,0.0,1.0,0.0,122,"In 2006, the American Bar Association raised questions about Brett Kavanaugh's demeanor and veracity https://t.co/eE2PNOqBNK",@nytimes
