,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
156,-0.7398,Sun Sep 23 20:32:23 +0000 2018,0.288,0.712,0.0,157,"RT @BBCOne: Just David Budd, having the epitome of a VERY BAD DAY. #Bodyguard https://t.co/uuz9xTSusb",@BBC
155,0.128,Sun Sep 23 22:04:30 +0000 2018,0.103,0.773,0.124,156,"RT @BBCOne: 157 crew.
88 shoot days.
56 cast.
23 stunt performers.
6 episodes.
2 directors.
1 writer.
1 epic finale. 

Thanks for watching…",@BBC
154,0.0,Mon Sep 24 07:02:04 +0000 2018,0.0,1.0,0.0,155,This is the most hardcore baptism you’ll ever see - a mum carrying her baby to a church up a near-vertical cliff fa… https://t.co/RXxvIRWdyS,@BBC
153,0.0,Mon Sep 24 07:31:07 +0000 2018,0.0,1.0,0.0,154,There are plans for scientists in Russia to attempt to bring woolly mammoths back from extinction. 🔬… https://t.co/31HyafKzgN,@BBC
152,0.0,Mon Sep 24 08:02:05 +0000 2018,0.0,1.0,0.0,153,Mosquitoes are transferring plastics into the food chain. 👉 https://t.co/tjdOPX0zrn https://t.co/O4VxfryLpA,@BBC
151,0.7184,Mon Sep 24 08:49:40 +0000 2018,0.0,0.769,0.231,152,"RT @BBCSportWales: Are you brave enough to dive off a cliff? 

This teenager is - and he's about to make history 😲 https://t.co/8fOgNK7URM",@BBC
150,-0.128,Mon Sep 24 09:03:02 +0000 2018,0.111,0.889,0.0,151,"😳😂 ""I'm going to leave it there because the lawyers are on the phone""

When @BBCSimonMcCoy sat down for a serious i… https://t.co/HAuyMtgM2c",@BBC
149,0.0,Mon Sep 24 10:02:07 +0000 2018,0.0,1.0,0.0,150,"""Girls have rights and I have rights to an education."" 💛

This young woman choose to teach instead of becoming a te… https://t.co/lFAjrelhXI",@BBC
148,0.4019,Mon Sep 24 11:08:45 +0000 2018,0.0,0.828,0.172,149,"Christina set up ‘Sandwich Angels’ to help feed Manchester’s homeless community. (Via @bbcthree)

https://t.co/Xq0WVgZFFe",@BBC
147,0.6597,Mon Sep 24 11:36:41 +0000 2018,0.0,0.787,0.213,148,"RT @bbcpress: Who were your #BluePeter presenters growing up? 🎂6⃣0⃣🎂 The @CBBC show will celebrate 60 years next month. Facts, interviews a…",@BBC
